warehouse_id,sku_id,total_ordered,total_shipped,fill_rate
WH_A,SKU0053,137,110,0.8029197080291971
WH_A,SKU0054,78,72,0.9230769230769231
WH_A,SKU0055,106,96,0.9056603773584906
WH_A,SKU0056,141,121,0.8581560283687943
WH_A,SKU0057,103,101,0.9805825242718447
WH_A,SKU0058,100,88,0.88
WH_A,SKU0059,179,153,0.8547486033519553
WH_A,SKU0060,75,67,0.8933333333333333
WH_A,SKU0061,168,144,0.8571428571428571
WH_A,SKU0062,94,86,0.9148936170212766
WH_A,SKU0063,88,79,0.8977272727272727
WH_A,SKU0064,94,85,0.9042553191489362
WH_A,SKU0065,108,97,0.8981481481481481
WH_A,SKU0066,115,98,0.8521739130434782
WH_A,SKU0067,127,106,0.8346456692913385
WH_A,SKU0068,151,143,0.9470198675496688
WH_A,SKU0069,180,158,0.8777777777777778
WH_A,SKU0070,119,102,0.8571428571428571
WH_A,SKU0071,106,97,0.9150943396226415
WH_A,SKU0072,112,97,0.8660714285714286
WH_A,SKU0073,186,163,0.8763440860215054
WH_A,SKU0074,106,101,0.9528301886792453
WH_A,SKU0075,120,95,0.7916666666666666
WH_A,SKU0076,67,60,0.8955223880597015
WH_A,SKU0077,113,99,0.8761061946902655
WH_A,SKU0078,99,92,0.9292929292929293
WH_A,SKU0079,144,114,0.7916666666666666
WH_A,SKU0080,155,145,0.9354838709677419
WH_A,SKU0081,119,104,0.8739495798319328
WH_A,SKU0082,176,150,0.8522727272727273
WH_A,SKU0083,109,88,0.8073394495412844
WH_A,SKU0084,96,84,0.875
WH_A,SKU0085,206,168,0.8155339805825242
WH_A,SKU0086,137,130,0.948905109489051
WH_A,SKU0087,163,151,0.9263803680981595
WH_A,SKU0088,123,90,0.7317073170731707
WH_A,SKU0089,97,84,0.865979381443299
WH_A,SKU0090,120,105,0.875
WH_A,SKU0091,122,118,0.9672131147540983
WH_A,SKU0092,117,109,0.9316239316239316
WH_A,SKU0093,156,138,0.8846153846153846
WH_A,SKU0094,147,135,0.9183673469387755
WH_A,SKU0095,146,112,0.7671232876712328
WH_A,SKU0096,102,85,0.8333333333333334
WH_A,SKU0097,117,111,0.9487179487179487
WH_A,SKU0098,152,112,0.7368421052631579
WH_A,SKU0099,103,97,0.941747572815534
WH_A,SKU0100,88,81,0.9204545454545454
WH_B,SKU0001,108,100,0.9259259259259259
WH_B,SKU0002,158,117,0.740506329113924
WH_B,SKU0003,150,134,0.8933333333333333
WH_B,SKU0004,134,108,0.8059701492537313
WH_B,SKU0005,142,140,0.9859154929577465
WH_B,SKU0006,71,62,0.8732394366197183
WH_B,SKU0007,65,61,0.9384615384615385
WH_B,SKU0008,49,49,1.0
WH_B,SKU0009,101,89,0.8811881188118812
WH_B,SKU0010,133,128,0.9624060150375939
WH_B,SKU0011,124,104,0.8387096774193549
WH_B,SKU0012,83,69,0.8313253012048193
WH_B,SKU0013,94,89,0.9468085106382979
WH_B,SKU0014,172,142,0.8255813953488372
WH_B,SKU0015,115,102,0.8869565217391304
WH_B,SKU0016,109,98,0.8990825688073395
WH_B,SKU0017,131,115,0.8778625954198473
WH_B,SKU0018,133,116,0.8721804511278195
WH_B,SKU0019,119,101,0.8487394957983193
WH_B,SKU0020,98,90,0.9183673469387755
WH_B,SKU0021,102,87,0.8529411764705882
WH_B,SKU0022,155,114,0.7354838709677419
WH_B,SKU0023,110,99,0.9
WH_B,SKU0024,156,131,0.8397435897435898
WH_B,SKU0025,144,127,0.8819444444444444
WH_B,SKU0026,119,97,0.8151260504201681
WH_B,SKU0027,159,126,0.7924528301886793
WH_B,SKU0028,120,115,0.9583333333333334
WH_B,SKU0029,134,118,0.8805970149253731
WH_B,SKU0030,150,125,0.8333333333333334
WH_B,SKU0031,139,124,0.8920863309352518
WH_B,SKU0032,102,100,0.9803921568627451
WH_B,SKU0033,102,102,1.0
WH_B,SKU0034,147,125,0.8503401360544217
WH_B,SKU0035,77,75,0.974025974025974
WH_B,SKU0036,124,100,0.8064516129032258
WH_B,SKU0037,96,84,0.875
WH_B,SKU0038,129,114,0.8837209302325582
WH_B,SKU0039,138,116,0.8405797101449275
WH_B,SKU0040,96,93,0.96875
WH_B,SKU0041,159,144,0.9056603773584906
WH_B,SKU0042,91,83,0.9120879120879121
WH_B,SKU0043,102,100,0.9803921568627451
WH_B,SKU0044,219,190,0.867579908675799
WH_B,SKU0045,116,97,0.8362068965517241
WH_B,SKU0046,98,92,0.9387755102040817
WH_B,SKU0047,175,150,0.8571428571428571
WH_B,SKU0048,121,111,0.9173553719008265
WH_B,SKU0049,174,165,0.9482758620689655
WH_B,SKU0050,201,166,0.8258706467661692
WH_B,SKU0051,124,118,0.9516129032258065
WH_B,SKU0052,167,128,0.7664670658682635
WH_B,SKU0053,189,157,0.8306878306878307
WH_B,SKU0054,84,69,0.8214285714285714
WH_B,SKU0055,157,143,0.910828025477707
WH_B,SKU0056,160,131,0.81875
WH_B,SKU0057,122,104,0.8524590163934426
WH_B,SKU0058,187,165,0.8823529411764706
WH_B,SKU0059,123,94,0.7642276422764228
WH_B,SKU0060,181,141,0.7790055248618785
WH_B,SKU0061,149,133,0.8926174496644296
WH_B,SKU0062,137,103,0.7518248175182481
WH_B,SKU0063,122,117,0.9590163934426229
WH_B,SKU0064,114,104,0.9122807017543859
WH_B,SKU0065,151,137,0.9072847682119205
WH_B,SKU0066,101,92,0.9108910891089109
WH_B,SKU0067,109,104,0.9541284403669725
WH_B,SKU0068,119,112,0.9411764705882353
WH_B,SKU0069,192,151,0.7864583333333334
WH_B,SKU0070,113,101,0.8938053097345132
WH_B,SKU0071,150,121,0.8066666666666666
WH_B,SKU0072,194,158,0.8144329896907216
WH_B,SKU0073,105,100,0.9523809523809523
WH_B,SKU0074,112,105,0.9375
WH_B,SKU0075,96,86,0.8958333333333334
WH_B,SKU0076,171,155,0.9064327485380117
WH_B,SKU0077,189,147,0.7777777777777778
WH_B,SKU0078,102,98,0.9607843137254902
WH_B,SKU0079,119,102,0.8571428571428571
WH_B,SKU0080,104,84,0.8076923076923077
WH_B,SKU0081,142,124,0.8732394366197183
WH_B,SKU0082,66,61,0.9242424242424242
WH_B,SKU0083,168,140,0.8333333333333334
WH_B,SKU0084,101,86,0.8514851485148515
WH_B,SKU0085,123,120,0.975609756097561
WH_B,SKU0086,120,99,0.825
WH_B,SKU0087,69,63,0.9130434782608695
WH_B,SKU0088,158,152,0.9620253164556962
WH_B,SKU0089,149,145,0.9731543624161074
WH_B,SKU0090,97,88,0.9072164948453608
WH_B,SKU0091,84,69,0.8214285714285714
WH_B,SKU0092,106,91,0.8584905660377359
WH_B,SKU0093,93,91,0.978494623655914
WH_B,SKU0094,189,162,0.8571428571428571
WH_B,SKU0095,78,72,0.9230769230769231
WH_B,SKU0096,133,111,0.8345864661654135
WH_B,SKU0097,132,111,0.8409090909090909
WH_B,SKU0098,179,161,0.8994413407821229
WH_B,SKU0099,150,112,0.7466666666666667
WH_B,SKU0100,109,89,0.8165137614678899
WH_C,SKU0001,143,118,0.8251748251748252
WH_C,SKU0002,132,117,0.8863636363636364
WH_C,SKU0003,119,93,0.7815126050420168
WH_C,SKU0004,117,102,0.8717948717948718
WH_C,SKU0005,87,68,0.7816091954022989
WH_C,SKU0006,156,135,0.8653846153846154
WH_C,SKU0007,210,179,0.8523809523809524
WH_C,SKU0008,141,116,0.8226950354609929
WH_C,SKU0009,152,145,0.9539473684210527
WH_C,SKU0010,146,109,0.7465753424657534
WH_C,SKU0011,132,128,0.9696969696969697
WH_C,SKU0012,179,146,0.8156424581005587
WH_C,SKU0013,85,77,0.9058823529411765
WH_C,SKU0014,167,145,0.8682634730538922
WH_C,SKU0015,83,70,0.8433734939759037
WH_C,SKU0016,150,130,0.8666666666666667
WH_C,SKU0017,172,165,0.9593023255813954
WH_C,SKU0018,128,110,0.859375
WH_C,SKU0019,170,154,0.9058823529411765
WH_C,SKU0020,171,156,0.9122807017543859
WH_C,SKU0021,124,101,0.8145161290322581
WH_C,SKU0022,157,147,0.9363057324840764
WH_C,SKU0023,124,109,0.8790322580645161
WH_C,SKU0024,119,107,0.8991596638655462
WH_C,SKU0025,174,143,0.8218390804597702
WH_C,SKU0026,124,111,0.8951612903225806
WH_C,SKU0027,120,103,0.8583333333333333
WH_C,SKU0028,147,124,0.8435374149659864
WH_C,SKU0029,90,76,0.8444444444444444
WH_C,SKU0030,104,93,0.8942307692307693
WH_C,SKU0031,136,111,0.8161764705882353
WH_C,SKU0032,118,86,0.7288135593220338
WH_C,SKU0033,145,130,0.896551724137931
WH_C,SKU0034,227,179,0.788546255506608
WH_C,SKU0035,87,78,0.896551724137931
WH_C,SKU0036,135,127,0.9407407407407408
WH_C,SKU0037,144,118,0.8194444444444444
WH_C,SKU0038,168,149,0.8869047619047619
WH_C,SKU0039,110,94,0.8545454545454545
WH_C,SKU0040,106,84,0.7924528301886793
WH_C,SKU0041,123,102,0.8292682926829268
WH_C,SKU0042,85,75,0.8823529411764706
WH_C,SKU0043,134,105,0.7835820895522388
WH_C,SKU0044,173,122,0.7052023121387283
WH_C,SKU0045,129,120,0.9302325581395349
WH_C,SKU0046,145,119,0.8206896551724138
WH_C,SKU0047,112,96,0.8571428571428571
WH_C,SKU0048,106,90,0.8490566037735849
WH_C,SKU0049,76,65,0.8552631578947368
WH_C,SKU0050,126,113,0.8968253968253969
WH_C,SKU0051,80,72,0.9
WH_C,SKU0052,142,100,0.704225352112676
WH_C,SKU0053,93,72,0.7741935483870968
WH_C,SKU0054,111,98,0.8828828828828829
WH_C,SKU0055,111,99,0.8918918918918919
WH_C,SKU0056,126,114,0.9047619047619048
WH_C,SKU0057,162,137,0.845679012345679
WH_C,SKU0058,116,103,0.8879310344827587
WH_C,SKU0059,154,132,0.8571428571428571
WH_C,SKU0060,240,185,0.7708333333333334
WH_C,SKU0061,99,84,0.8484848484848485
WH_C,SKU0062,113,103,0.911504424778761
WH_C,SKU0063,108,89,0.8240740740740741
WH_C,SKU0064,111,99,0.8918918918918919
WH_C,SKU0065,150,128,0.8533333333333334
WH_C,SKU0066,134,104,0.7761194029850746
WH_C,SKU0067,113,97,0.8584070796460177
WH_C,SKU0068,107,86,0.8037383177570093
WH_C,SKU0069,207,172,0.8309178743961353
WH_C,SKU0070,157,128,0.8152866242038217
WH_C,SKU0071,117,106,0.905982905982906
WH_C,SKU0072,168,130,0.7738095238095238
WH_C,SKU0073,134,122,0.9104477611940298
WH_C,SKU0074,116,109,0.9396551724137931
WH_C,SKU0075,103,97,0.941747572815534
WH_C,SKU0076,149,138,0.9261744966442953
WH_C,SKU0077,81,74,0.9135802469135802
WH_C,SKU0078,130,113,0.8692307692307693
WH_C,SKU0079,80,64,0.8
WH_C,SKU0080,171,140,0.8187134502923976
WH_C,SKU0081,140,124,0.8857142857142857
WH_C,SKU0082,140,133,0.95
WH_C,SKU0083,137,122,0.8905109489051095
WH_C,SKU0084,191,173,0.9057591623036649
WH_C,SKU0085,125,99,0.792
WH_C,SKU0086,146,134,0.9178082191780822
WH_C,SKU0087,125,112,0.896
WH_C,SKU0088,134,108,0.8059701492537313
WH_C,SKU0089,124,111,0.8951612903225806
WH_C,SKU0090,71,56,0.7887323943661971
WH_C,SKU0091,165,140,0.8484848484848485
WH_C,SKU0092,159,139,0.8742138364779874
WH_C,SKU0093,117,112,0.9572649572649573
WH_C,SKU0094,147,126,0.8571428571428571
WH_C,SKU0095,131,109,0.8320610687022901
WH_C,SKU0096,74,68,0.918918918918919
WH_C,SKU0097,110,89,0.8090909090909091
WH_C,SKU0098,215,176,0.8186046511627907
WH_C,SKU0099,103,79,0.7669902912621359
WH_C,SKU0100,154,140,0.9090909090909091
