warehouse_id,sku_id,stockout_days,total_days,stockout_rate
WH_B,SKU0075,48,60,0.8
WH_B,SKU0076,48,60,0.8
WH_B,SKU0077,49,60,0.8166666666666667
WH_B,SKU0078,48,60,0.8
WH_B,SKU0079,51,60,0.85
WH_B,SKU0080,52,60,0.8666666666666667
WH_B,SKU0081,54,60,0.9
WH_B,SKU0082,56,60,0.9333333333333333
WH_B,SKU0083,51,60,0.85
WH_B,SKU0084,48,60,0.8
WH_B,SKU0085,49,60,0.8166666666666667
WH_B,SKU0086,54,60,0.9
WH_B,SKU0087,50,60,0.8333333333333334
WH_B,SKU0088,47,60,0.7833333333333333
WH_B,SKU0089,46,60,0.7666666666666667
WH_B,SKU0090,50,60,0.8333333333333334
WH_B,SKU0091,53,60,0.8833333333333333
WH_B,SKU0092,51,60,0.85
WH_B,SKU0093,46,60,0.7666666666666667
WH_B,SKU0094,51,60,0.85
WH_B,SKU0095,52,60,0.8666666666666667
WH_B,SKU0096,55,60,0.9166666666666666
WH_B,SKU0097,49,60,0.8166666666666667
WH_B,SKU0098,53,60,0.8833333333333333
WH_B,SKU0099,51,60,0.85
WH_B,SKU0100,55,60,0.9166666666666666
WH_C,SKU0001,54,60,0.9
WH_C,SKU0002,54,60,0.9
WH_C,SKU0003,51,60,0.85
WH_C,SKU0004,53,60,0.8833333333333333
WH_C,SKU0005,52,60,0.8666666666666667
WH_C,SKU0006,46,60,0.7666666666666667
WH_C,SKU0007,51,60,0.85
WH_C,SKU0008,53,60,0.8833333333333333
WH_C,SKU0009,49,60,0.8166666666666667
WH_C,SKU0010,44,60,0.7333333333333333
WH_C,SKU0011,51,60,0.85
WH_C,SKU0012,56,60,0.9333333333333333
WH_C,SKU0013,51,60,0.85
WH_C,SKU0014,57,60,0.95
WH_C,SKU0015,52,60,0.8666666666666667
WH_C,SKU0016,47,60,0.7833333333333333
WH_C,SKU0017,50,60,0.8333333333333334
WH_C,SKU0018,48,60,0.8
WH_C,SKU0019,47,60,0.7833333333333333
WH_C,SKU0020,55,60,0.9166666666666666
WH_C,SKU0021,52,60,0.8666666666666667
WH_C,SKU0022,46,60,0.7666666666666667
WH_C,SKU0023,53,60,0.8833333333333333
WH_C,SKU0024,48,60,0.8
WH_C,SKU0025,50,60,0.8333333333333334
WH_C,SKU0026,56,60,0.9333333333333333
WH_C,SKU0027,49,60,0.8166666666666667
WH_C,SKU0028,50,60,0.8333333333333334
WH_C,SKU0029,50,60,0.8333333333333334
WH_C,SKU0030,48,60,0.8
WH_C,SKU0031,55,60,0.9166666666666666
WH_C,SKU0032,47,60,0.7833333333333333
WH_C,SKU0033,52,60,0.8666666666666667
WH_C,SKU0034,52,60,0.8666666666666667
WH_C,SKU0035,55,60,0.9166666666666666
WH_C,SKU0036,48,60,0.8
WH_C,SKU0037,49,60,0.8166666666666667
WH_C,SKU0038,51,60,0.85
WH_C,SKU0039,46,60,0.7666666666666667
WH_C,SKU0040,53,60,0.8833333333333333
WH_C,SKU0041,51,60,0.85
WH_C,SKU0042,49,60,0.8166666666666667
WH_C,SKU0043,53,60,0.8833333333333333
WH_C,SKU0044,48,60,0.8
WH_C,SKU0045,50,60,0.8333333333333334
WH_C,SKU0046,52,60,0.8666666666666667
WH_C,SKU0047,49,60,0.8166666666666667
WH_C,SKU0048,48,60,0.8
WH_C,SKU0049,55,60,0.9166666666666666
WH_C,SKU0050,50,60,0.8333333333333334
WH_C,SKU0051,47,60,0.7833333333333333
WH_C,SKU0052,49,60,0.8166666666666667
WH_C,SKU0053,53,60,0.8833333333333333
WH_C,SKU0054,48,60,0.8
WH_C,SKU0055,55,60,0.9166666666666666
WH_C,SKU0056,48,60,0.8
WH_C,SKU0057,49,60,0.8166666666666667
WH_C,SKU0058,50,60,0.8333333333333334
WH_C,SKU0059,54,60,0.9
WH_C,SKU0060,47,60,0.7833333333333333
WH_C,SKU0061,47,60,0.7833333333333333
WH_C,SKU0062,49,60,0.8166666666666667
WH_C,SKU0063,44,60,0.7333333333333333
WH_C,SKU0064,52,60,0.8666666666666667
WH_C,SKU0065,46,60,0.7666666666666667
WH_C,SKU0066,50,60,0.8333333333333334
WH_C,SKU0067,45,60,0.75
WH_C,SKU0068,51,60,0.85
WH_C,SKU0069,49,60,0.8166666666666667
WH_C,SKU0070,47,60,0.7833333333333333
WH_C,SKU0071,56,60,0.9333333333333333
WH_C,SKU0072,47,60,0.7833333333333333
WH_C,SKU0073,53,60,0.8833333333333333
WH_C,SKU0074,47,60,0.7833333333333333
WH_C,SKU0075,49,60,0.8166666666666667
WH_C,SKU0076,51,60,0.85
WH_C,SKU0077,49,60,0.8166666666666667
WH_C,SKU0078,48,60,0.8
WH_C,SKU0079,55,60,0.9166666666666666
WH_C,SKU0080,47,60,0.7833333333333333
WH_C,SKU0081,51,60,0.85
WH_C,SKU0082,46,60,0.7666666666666667
WH_C,SKU0083,52,60,0.8666666666666667
WH_C,SKU0084,45,60,0.75
WH_C,SKU0085,49,60,0.8166666666666667
WH_C,SKU0086,51,60,0.85
WH_C,SKU0087,47,60,0.7833333333333333
WH_C,SKU0088,50,60,0.8333333333333334
WH_C,SKU0089,44,60,0.7333333333333333
WH_C,SKU0090,50,60,0.8333333333333334
WH_C,SKU0091,50,60,0.8333333333333334
WH_C,SKU0092,50,60,0.8333333333333334
WH_C,SKU0093,50,60,0.8333333333333334
WH_C,SKU0094,52,60,0.8666666666666667
WH_C,SKU0095,51,60,0.85
WH_C,SKU0096,49,60,0.8166666666666667
WH_C,SKU0097,49,60,0.8166666666666667
WH_C,SKU0098,52,60,0.8666666666666667
WH_C,SKU0099,50,60,0.8333333333333334
WH_C,SKU0100,45,60,0.75
