date,warehouse_id,region,sku_id,category,on_hand,backorder,reorder_point,reorder_qty
2025-01-01,WH_A,East,SKU0043,Hardware,178,1,50,42
2025-01-01,WH_A,East,SKU0044,Hardware,53,3,49,31
2025-01-01,WH_A,East,SKU0045,Electronics,54,4,30,51
2025-01-01,WH_A,East,SKU0046,Hardware,174,4,46,91
2025-01-01,WH_A,East,SKU0047,Electronics,96,2,40,37
2025-01-01,WH_A,East,SKU0048,Hardware,82,0,39,30
2025-01-01,WH_A,East,SKU0049,Housewares,121,3,31,88
2025-01-01,WH_A,East,SKU0050,Hardware,130,2,42,119
2025-01-01,WH_A,East,SKU0051,Hardware,212,2,46,49
2025-01-01,WH_A,East,SKU0052,Hardware,91,1,33,57
2025-01-01,WH_A,East,SKU0053,Hardware,45,3,49,37
2025-01-01,WH_A,East,SKU0054,Office,118,3,18,36
2025-01-01,WH_A,East,SKU0055,Housewares,171,2,45,94
2025-01-01,WH_A,East,SKU0056,Housewares,135,2,25,37
2025-01-01,WH_A,East,SKU0057,Electronics,210,7,20,53
2025-01-01,WH_A,East,SKU0058,Sports,35,3,19,116
2025-01-01,WH_A,East,SKU0059,Electronics,111,0,40,45
2025-01-01,WH_A,East,SKU0060,Hardware,242,4,30,104
2025-01-01,WH_A,East,SKU0061,Office,179,1,17,109
2025-01-01,WH_A,East,SKU0062,Housewares,54,0,41,114
2025-01-01,WH_A,East,SKU0063,Housewares,174,7,48,70
2025-01-01,WH_A,East,SKU0064,Sports,76,1,28,115
2025-01-01,WH_A,East,SKU0065,Sports,100,1,30,63
2025-01-01,WH_A,East,SKU0066,Sports,105,3,23,115
2025-01-01,WH_A,East,SKU0067,Hardware,248,3,34,88
2025-01-01,WH_A,East,SKU0068,Electronics,130,6,19,31
2025-01-01,WH_A,East,SKU0069,Hardware,183,2,21,39
2025-01-01,WH_A,East,SKU0070,Hardware,227,0,28,94
2025-01-01,WH_A,East,SKU0071,Hardware,124,5,23,74
2025-01-01,WH_A,East,SKU0072,Office,20,3,30,77
2025-01-01,WH_A,East,SKU0073,Office,94,4,25,86
2025-01-01,WH_A,East,SKU0074,Hardware,210,0,34,108
2025-01-01,WH_A,East,SKU0075,Sports,192,3,48,31
2025-01-01,WH_A,East,SKU0076,Hardware,268,3,50,68
2025-01-01,WH_A,East,SKU0077,Office,182,3,21,47
2025-01-01,WH_A,East,SKU0078,Housewares,89,1,22,43
2025-01-01,WH_A,East,SKU0079,Hardware,244,3,24,64
2025-01-01,WH_A,East,SKU0080,Hardware,116,4,28,73
2025-01-01,WH_A,East,SKU0081,Housewares,62,4,31,94
2025-01-01,WH_A,East,SKU0082,Hardware,214,1,31,36
2025-01-01,WH_A,East,SKU0083,Housewares,52,3,42,65
2025-01-01,WH_A,East,SKU0084,Office,39,6,15,72
2025-01-01,WH_A,East,SKU0085,Hardware,71,1,31,50
2025-01-01,WH_A,East,SKU0086,Hardware,177,1,50,120
2025-01-01,WH_A,East,SKU0087,Office,128,3,50,31
2025-01-01,WH_A,East,SKU0088,Housewares,50,4,19,118
2025-01-01,WH_A,East,SKU0089,Electronics,81,5,49,34
2025-01-01,WH_A,East,SKU0090,Electronics,156,8,50,48
2025-01-01,WH_A,East,SKU0091,Electronics,188,1,23,35
2025-01-01,WH_A,East,SKU0092,Housewares,87,3,38,35
2025-01-01,WH_A,East,SKU0093,Sports,108,4,28,117
2025-01-01,WH_A,East,SKU0094,Hardware,120,2,21,75
2025-01-01,WH_A,East,SKU0095,Electronics,219,0,41,109
2025-01-01,WH_A,East,SKU0096,Hardware,78,4,30,50
2025-01-01,WH_A,East,SKU0097,Office,67,0,41,33
2025-01-01,WH_A,East,SKU0098,Housewares,66,3,36,82
2025-01-01,WH_A,East,SKU0099,Office,182,3,30,64
2025-01-01,WH_A,East,SKU0100,Office,60,0,21,78
2025-01-01,WH_B,Central,SKU0001,Housewares,32,4,45,58
2025-01-01,WH_B,Central,SKU0002,Electronics,110,5,44,74
2025-01-01,WH_B,Central,SKU0003,Hardware,123,1,29,58
2025-01-01,WH_B,Central,SKU0004,Hardware,41,4,27,81
2025-01-01,WH_B,Central,SKU0005,Sports,109,10,32,38
2025-01-01,WH_B,Central,SKU0006,Sports,96,5,37,112
2025-01-01,WH_B,Central,SKU0007,Office,159,4,40,116
2025-01-01,WH_B,Central,SKU0008,Electronics,216,4,36,33
2025-01-01,WH_B,Central,SKU0009,Hardware,60,2,31,52
2025-01-01,WH_B,Central,SKU0010,Electronics,230,3,31,34
2025-01-01,WH_B,Central,SKU0011,Hardware,88,0,42,74
2025-01-01,WH_B,Central,SKU0012,Housewares,106,0,42,107
2025-01-01,WH_B,Central,SKU0013,Electronics,205,5,22,79
2025-01-01,WH_B,Central,SKU0014,Electronics,234,0,27,62
2025-01-01,WH_B,Central,SKU0015,Housewares,23,4,42,30
2025-01-01,WH_B,Central,SKU0016,Housewares,145,3,49,117
2025-01-01,WH_B,Central,SKU0017,Hardware,267,1,27,76
2025-01-01,WH_B,Central,SKU0018,Housewares,151,4,19,115
2025-01-01,WH_B,Central,SKU0019,Sports,83,3,35,114
2025-01-01,WH_B,Central,SKU0020,Electronics,64,4,34,94
2025-01-01,WH_B,Central,SKU0021,Sports,91,2,41,71
2025-01-01,WH_B,Central,SKU0022,Sports,128,4,33,100
2025-01-01,WH_B,Central,SKU0023,Hardware,60,2,27,83
2025-01-01,WH_B,Central,SKU0024,Electronics,261,1,39,116
2025-01-01,WH_B,Central,SKU0025,Office,81,3,34,81
2025-01-01,WH_B,Central,SKU0026,Hardware,211,4,15,68
2025-01-01,WH_B,Central,SKU0027,Electronics,151,5,28,85
2025-01-01,WH_B,Central,SKU0028,Electronics,220,2,35,89
2025-01-01,WH_B,Central,SKU0029,Sports,145,1,43,116
2025-01-01,WH_B,Central,SKU0030,Housewares,78,4,47,90
2025-01-01,WH_B,Central,SKU0031,Sports,53,2,20,66
2025-01-01,WH_B,Central,SKU0032,Sports,118,0,36,41
2025-01-01,WH_B,Central,SKU0033,Housewares,77,0,34,58
2025-01-01,WH_B,Central,SKU0034,Office,86,0,24,33
2025-01-01,WH_B,Central,SKU0035,Hardware,38,3,30,90
2025-01-01,WH_B,Central,SKU0036,Housewares,190,0,19,88
2025-01-01,WH_B,Central,SKU0037,Sports,137,3,27,119
2025-01-01,WH_B,Central,SKU0038,Housewares,108,3,46,81
2025-01-01,WH_B,Central,SKU0039,Office,83,1,24,113
2025-01-01,WH_B,Central,SKU0040,Housewares,196,2,15,43
2025-01-01,WH_B,Central,SKU0041,Sports,129,4,29,52
2025-01-01,WH_B,Central,SKU0042,Electronics,293,0,48,89
2025-01-01,WH_B,Central,SKU0043,Hardware,66,0,50,61
2025-01-01,WH_B,Central,SKU0044,Hardware,69,4,44,47
2025-01-01,WH_B,Central,SKU0045,Electronics,196,1,48,101
2025-01-01,WH_B,Central,SKU0046,Hardware,238,2,35,86
2025-01-01,WH_B,Central,SKU0047,Electronics,240,4,47,84
2025-01-01,WH_B,Central,SKU0048,Hardware,227,1,43,50
2025-01-01,WH_B,Central,SKU0049,Housewares,149,3,43,63
2025-01-01,WH_B,Central,SKU0050,Hardware,124,4,32,96
2025-01-01,WH_B,Central,SKU0051,Hardware,193,1,30,65
2025-01-01,WH_B,Central,SKU0052,Hardware,192,4,19,66
2025-01-01,WH_B,Central,SKU0053,Hardware,111,3,32,72
2025-01-01,WH_B,Central,SKU0054,Office,113,1,49,40
2025-01-01,WH_B,Central,SKU0055,Housewares,60,2,24,59
2025-01-01,WH_B,Central,SKU0056,Housewares,115,5,24,120
2025-01-01,WH_B,Central,SKU0057,Electronics,111,4,19,83
2025-01-01,WH_B,Central,SKU0058,Sports,137,3,36,99
2025-01-01,WH_B,Central,SKU0059,Electronics,201,2,41,37
2025-01-01,WH_B,Central,SKU0060,Hardware,104,2,41,79
2025-01-01,WH_B,Central,SKU0061,Office,169,4,16,103
2025-01-01,WH_B,Central,SKU0062,Housewares,108,7,45,30
2025-01-01,WH_B,Central,SKU0063,Housewares,99,0,34,79
2025-01-01,WH_B,Central,SKU0064,Sports,138,4,49,99
2025-01-01,WH_B,Central,SKU0065,Sports,180,4,29,92
2025-01-01,WH_B,Central,SKU0066,Sports,75,1,32,85
2025-01-01,WH_B,Central,SKU0067,Hardware,202,1,16,79
2025-01-01,WH_B,Central,SKU0068,Electronics,158,2,40,51
2025-01-01,WH_B,Central,SKU0069,Hardware,186,2,23,109
2025-01-01,WH_B,Central,SKU0070,Hardware,222,1,16,80
2025-01-01,WH_B,Central,SKU0071,Hardware,231,3,16,40
2025-01-01,WH_B,Central,SKU0072,Office,186,1,42,47
2025-01-01,WH_B,Central,SKU0073,Office,133,3,26,36
2025-01-01,WH_B,Central,SKU0074,Hardware,105,0,39,71
2025-01-01,WH_B,Central,SKU0075,Sports,66,2,44,71
2025-01-01,WH_B,Central,SKU0076,Hardware,151,5,39,65
2025-01-01,WH_B,Central,SKU0077,Office,135,2,31,40
2025-01-01,WH_B,Central,SKU0078,Housewares,139,0,16,99
2025-01-01,WH_B,Central,SKU0079,Hardware,46,2,37,58
2025-01-01,WH_B,Central,SKU0080,Hardware,263,1,19,113
2025-01-01,WH_B,Central,SKU0081,Housewares,35,6,16,61
2025-01-01,WH_B,Central,SKU0082,Hardware,98,3,16,109
2025-01-01,WH_B,Central,SKU0083,Housewares,65,2,30,46
2025-01-01,WH_B,Central,SKU0084,Office,143,3,22,102
2025-01-01,WH_B,Central,SKU0085,Hardware,105,1,44,119
2025-01-01,WH_B,Central,SKU0086,Hardware,119,3,38,51
2025-01-01,WH_B,Central,SKU0087,Office,189,4,22,50
2025-01-01,WH_B,Central,SKU0088,Housewares,120,1,21,104
2025-01-01,WH_B,Central,SKU0089,Electronics,45,3,34,103
2025-01-01,WH_B,Central,SKU0090,Electronics,292,1,39,80
2025-01-01,WH_B,Central,SKU0091,Electronics,89,1,19,105
2025-01-01,WH_B,Central,SKU0092,Housewares,174,1,30,43
2025-01-01,WH_B,Central,SKU0093,Sports,190,3,34,117
2025-01-01,WH_B,Central,SKU0094,Hardware,245,6,22,102
2025-01-01,WH_B,Central,SKU0095,Electronics,51,1,37,98
2025-01-01,WH_B,Central,SKU0096,Hardware,171,3,38,38
2025-01-01,WH_B,Central,SKU0097,Office,135,6,36,31
2025-01-01,WH_B,Central,SKU0098,Housewares,138,2,46,43
2025-01-01,WH_B,Central,SKU0099,Office,112,5,38,111
2025-01-01,WH_B,Central,SKU0100,Office,135,5,24,85
2025-01-01,WH_C,West,SKU0001,Housewares,49,1,48,113
2025-01-01,WH_C,West,SKU0002,Electronics,124,3,49,91
2025-01-01,WH_C,West,SKU0003,Hardware,190,4,42,105
2025-01-01,WH_C,West,SKU0004,Hardware,112,2,35,61
2025-01-01,WH_C,West,SKU0005,Sports,43,4,32,87
2025-01-01,WH_C,West,SKU0006,Sports,89,0,44,102
2025-01-01,WH_C,West,SKU0007,Office,160,5,39,73
2025-01-01,WH_C,West,SKU0008,Electronics,41,1,46,71
2025-01-01,WH_C,West,SKU0009,Hardware,107,3,46,57
2025-01-01,WH_C,West,SKU0010,Electronics,165,3,31,73
2025-01-01,WH_C,West,SKU0011,Hardware,148,6,32,101
2025-01-01,WH_C,West,SKU0012,Housewares,19,4,48,54
2025-01-01,WH_C,West,SKU0013,Electronics,63,5,30,82
2025-01-01,WH_C,West,SKU0014,Electronics,193,4,50,60
2025-01-01,WH_C,West,SKU0015,Housewares,206,0,45,112
2025-01-01,WH_C,West,SKU0016,Housewares,133,0,43,32
2025-01-01,WH_C,West,SKU0017,Hardware,57,4,33,58
2025-01-01,WH_C,West,SKU0018,Housewares,138,3,30,69
2025-01-01,WH_C,West,SKU0019,Sports,205,0,38,90
2025-01-01,WH_C,West,SKU0020,Electronics,208,2,48,74
2025-01-01,WH_C,West,SKU0021,Sports,131,2,50,72
2025-01-01,WH_C,West,SKU0022,Sports,89,2,44,64
2025-01-01,WH_C,West,SKU0023,Hardware,124,4,31,59
2025-01-01,WH_C,West,SKU0024,Electronics,73,1,27,70
2025-01-01,WH_C,West,SKU0025,Office,44,0,49,118
2025-01-01,WH_C,West,SKU0026,Hardware,93,4,27,57
2025-01-01,WH_C,West,SKU0027,Electronics,190,4,32,105
2025-01-01,WH_C,West,SKU0028,Electronics,210,1,33,42
2025-01-01,WH_C,West,SKU0029,Sports,67,0,33,59
2025-01-01,WH_C,West,SKU0030,Housewares,106,0,26,68
2025-01-01,WH_C,West,SKU0031,Sports,42,3,49,46
2025-01-01,WH_C,West,SKU0032,Sports,83,3,17,36
2025-01-01,WH_C,West,SKU0033,Housewares,159,2,33,119
2025-01-01,WH_C,West,SKU0034,Office,58,4,46,43
2025-01-01,WH_C,West,SKU0035,Hardware,26,1,33,90
2025-01-01,WH_C,West,SKU0036,Housewares,139,0,43,73
2025-01-01,WH_C,West,SKU0037,Sports,51,5,18,62
2025-01-01,WH_C,West,SKU0038,Housewares,158,2,22,38
2025-01-01,WH_C,West,SKU0039,Office,127,3,46,39
2025-01-01,WH_C,West,SKU0040,Housewares,197,5,18,49
2025-01-01,WH_C,West,SKU0041,Sports,56,1,34,40
2025-01-01,WH_C,West,SKU0042,Electronics,100,3,22,101
2025-01-01,WH_C,West,SKU0043,Hardware,168,0,29,96
2025-01-01,WH_C,West,SKU0044,Hardware,157,0,43,86
2025-01-01,WH_C,West,SKU0045,Electronics,151,4,42,69
2025-01-01,WH_C,West,SKU0046,Hardware,230,5,18,108
2025-01-01,WH_C,West,SKU0047,Electronics,63,1,28,110
2025-01-01,WH_C,West,SKU0048,Hardware,118,4,31,114
2025-01-01,WH_C,West,SKU0049,Housewares,29,2,25,60
2025-01-01,WH_C,West,SKU0050,Hardware,80,0,50,39
2025-01-01,WH_C,West,SKU0051,Hardware,93,6,15,82
2025-01-01,WH_C,West,SKU0052,Hardware,175,4,45,67
2025-01-01,WH_C,West,SKU0053,Hardware,32,2,29,66
2025-01-01,WH_C,West,SKU0054,Office,194,1,33,119
2025-01-01,WH_C,West,SKU0055,Housewares,136,1,19,117
2025-01-01,WH_C,West,SKU0056,Housewares,81,2,31,110
2025-01-01,WH_C,West,SKU0057,Electronics,235,1,27,84
2025-01-01,WH_C,West,SKU0058,Sports,43,4,49,58
2025-01-01,WH_C,West,SKU0059,Electronics,264,1,24,64
2025-01-01,WH_C,West,SKU0060,Hardware,79,4,19,37
2025-01-01,WH_C,West,SKU0061,Office,45,4,34,106
2025-01-01,WH_C,West,SKU0062,Housewares,158,4,33,86
2025-01-01,WH_C,West,SKU0063,Housewares,43,0,44,118
2025-01-01,WH_C,West,SKU0064,Sports,80,3,40,64
2025-01-01,WH_C,West,SKU0065,Sports,150,1,49,93
2025-01-01,WH_C,West,SKU0066,Sports,138,0,20,106
2025-01-01,WH_C,West,SKU0067,Hardware,41,0,42,71
2025-01-01,WH_C,West,SKU0068,Electronics,237,3,31,33
2025-01-01,WH_C,West,SKU0069,Hardware,51,2,29,116
2025-01-01,WH_C,West,SKU0070,Hardware,243,1,16,116
2025-01-01,WH_C,West,SKU0071,Hardware,131,0,17,52
2025-01-01,WH_C,West,SKU0072,Office,145,5,48,113
2025-01-01,WH_C,West,SKU0073,Office,108,1,32,53
2025-01-01,WH_C,West,SKU0074,Hardware,242,2,42,111
2025-01-01,WH_C,West,SKU0075,Sports,148,1,20,90
2025-01-01,WH_C,West,SKU0076,Hardware,153,2,41,72
2025-01-01,WH_C,West,SKU0077,Office,113,3,21,50
2025-01-01,WH_C,West,SKU0078,Housewares,107,2,41,118
2025-01-01,WH_C,West,SKU0079,Hardware,199,2,33,114
2025-01-01,WH_C,West,SKU0080,Hardware,174,2,50,34
2025-01-01,WH_C,West,SKU0081,Housewares,138,7,20,70
2025-01-01,WH_C,West,SKU0082,Hardware,126,2,35,44
2025-01-01,WH_C,West,SKU0083,Housewares,135,2,47,30
2025-01-01,WH_C,West,SKU0084,Office,167,0,49,89
2025-01-01,WH_C,West,SKU0085,Hardware,156,2,18,54
2025-01-01,WH_C,West,SKU0086,Hardware,212,6,38,109
2025-01-01,WH_C,West,SKU0087,Office,150,2,43,36
2025-01-01,WH_C,West,SKU0088,Housewares,80,0,32,100
2025-01-01,WH_C,West,SKU0089,Electronics,76,4,33,86
2025-01-01,WH_C,West,SKU0090,Electronics,262,5,46,45
2025-01-01,WH_C,West,SKU0091,Electronics,41,2,30,120
2025-01-01,WH_C,West,SKU0092,Housewares,66,7,34,100
2025-01-01,WH_C,West,SKU0093,Sports,24,3,50,82
2025-01-01,WH_C,West,SKU0094,Hardware,55,1,29,44
2025-01-01,WH_C,West,SKU0095,Electronics,201,1,22,112
2025-01-01,WH_C,West,SKU0096,Hardware,83,2,46,67
2025-01-01,WH_C,West,SKU0097,Office,154,3,32,83
2025-01-01,WH_C,West,SKU0098,Housewares,153,1,45,61
2025-01-01,WH_C,West,SKU0099,Office,133,1,50,48
2025-01-01,WH_C,West,SKU0100,Office,113,3,27,106
2025-01-02,WH_A,East,SKU0001,Housewares,157,1,23,38
2025-01-02,WH_A,East,SKU0002,Electronics,134,5,41,73
2025-01-02,WH_A,East,SKU0003,Hardware,212,6,32,30
2025-01-02,WH_A,East,SKU0004,Hardware,121,0,34,105
2025-01-02,WH_A,East,SKU0005,Sports,150,5,46,49
2025-01-02,WH_A,East,SKU0006,Sports,140,2,49,91
2025-01-02,WH_A,East,SKU0007,Office,110,0,36,100
2025-01-02,WH_A,East,SKU0008,Electronics,247,3,39,88
2025-01-02,WH_A,East,SKU0009,Hardware,143,4,27,119
2025-01-02,WH_A,East,SKU0010,Electronics,118,3,39,59
2025-01-02,WH_A,East,SKU0011,Hardware,167,3,17,70
2025-01-02,WH_A,East,SKU0012,Housewares,159,5,39,79
2025-01-02,WH_A,East,SKU0013,Electronics,280,1,24,93
2025-01-02,WH_A,East,SKU0014,Electronics,30,2,23,94
2025-01-02,WH_A,East,SKU0015,Housewares,171,5,36,42
2025-01-02,WH_A,East,SKU0016,Housewares,115,6,21,97
2025-01-02,WH_A,East,SKU0017,Hardware,188,2,15,48
2025-01-02,WH_A,East,SKU0018,Housewares,113,0,24,39
2025-01-02,WH_A,East,SKU0019,Sports,148,3,31,73
2025-01-02,WH_A,East,SKU0020,Electronics,237,0,40,113
2025-01-02,WH_A,East,SKU0021,Sports,36,6,36,116
2025-01-02,WH_A,East,SKU0022,Sports,153,0,39,70
2025-01-02,WH_A,East,SKU0023,Hardware,249,2,46,99
2025-01-02,WH_A,East,SKU0024,Electronics,13,2,19,60
2025-01-02,WH_A,East,SKU0025,Office,178,4,33,59
2025-01-02,WH_A,East,SKU0026,Hardware,78,5,42,42
2025-01-02,WH_A,East,SKU0027,Electronics,252,0,21,86
2025-01-02,WH_A,East,SKU0028,Electronics,112,3,34,33
2025-01-02,WH_A,East,SKU0029,Sports,31,2,35,37
2025-01-02,WH_A,East,SKU0030,Housewares,96,2,37,77
2025-01-02,WH_A,East,SKU0031,Sports,124,1,24,61
2025-01-02,WH_A,East,SKU0032,Sports,154,1,41,102
2025-01-02,WH_A,East,SKU0033,Housewares,186,3,26,51
2025-01-02,WH_A,East,SKU0034,Office,61,6,20,108
2025-01-02,WH_A,East,SKU0035,Hardware,137,5,30,93
2025-01-02,WH_A,East,SKU0036,Housewares,181,0,24,59
2025-01-02,WH_A,East,SKU0037,Sports,134,2,31,88
2025-01-02,WH_A,East,SKU0038,Housewares,70,1,15,89
2025-01-02,WH_A,East,SKU0039,Office,81,6,49,50
2025-01-02,WH_A,East,SKU0040,Housewares,47,5,43,74
2025-01-02,WH_A,East,SKU0041,Sports,177,0,34,111
2025-01-02,WH_A,East,SKU0042,Electronics,173,3,31,88
2025-01-02,WH_A,East,SKU0043,Hardware,123,4,27,79
2025-01-02,WH_A,East,SKU0044,Hardware,197,2,21,60
2025-01-02,WH_A,East,SKU0045,Electronics,170,3,37,103
2025-01-02,WH_A,East,SKU0046,Hardware,129,5,33,32
2025-01-02,WH_A,East,SKU0047,Electronics,252,4,40,65
2025-01-02,WH_A,East,SKU0048,Hardware,36,2,18,107
2025-01-02,WH_A,East,SKU0049,Housewares,150,0,33,59
2025-01-02,WH_A,East,SKU0050,Hardware,254,2,37,58
2025-01-02,WH_A,East,SKU0051,Hardware,249,5,27,109
2025-01-02,WH_A,East,SKU0052,Hardware,110,0,23,110
2025-01-02,WH_A,East,SKU0053,Hardware,46,4,17,69
2025-01-02,WH_A,East,SKU0054,Office,119,6,17,104
2025-01-02,WH_A,East,SKU0055,Housewares,92,6,23,41
2025-01-02,WH_A,East,SKU0056,Housewares,97,2,35,83
2025-01-02,WH_A,East,SKU0057,Electronics,84,3,27,46
2025-01-02,WH_A,East,SKU0058,Sports,157,5,38,97
2025-01-02,WH_A,East,SKU0059,Electronics,208,3,32,51
2025-01-02,WH_A,East,SKU0060,Hardware,115,2,45,67
2025-01-02,WH_A,East,SKU0061,Office,109,0,22,89
2025-01-02,WH_A,East,SKU0062,Housewares,25,4,24,58
2025-01-02,WH_A,East,SKU0063,Housewares,194,2,40,101
2025-01-02,WH_A,East,SKU0064,Sports,113,3,20,80
2025-01-02,WH_A,East,SKU0065,Sports,17,1,31,98
2025-01-02,WH_A,East,SKU0066,Sports,52,1,44,77
2025-01-02,WH_A,East,SKU0067,Hardware,272,0,31,104
2025-01-02,WH_A,East,SKU0068,Electronics,174,3,38,43
2025-01-02,WH_A,East,SKU0069,Hardware,271,4,29,90
2025-01-02,WH_A,East,SKU0070,Hardware,53,5,50,71
2025-01-02,WH_A,East,SKU0071,Hardware,227,0,29,112
2025-01-02,WH_A,East,SKU0072,Office,29,3,44,119
2025-01-02,WH_A,East,SKU0073,Office,102,1,41,44
2025-01-02,WH_A,East,SKU0074,Hardware,78,1,17,34
2025-01-02,WH_A,East,SKU0075,Sports,90,0,46,44
2025-01-02,WH_A,East,SKU0076,Hardware,52,0,30,98
2025-01-02,WH_A,East,SKU0077,Office,44,5,39,88
2025-01-02,WH_A,East,SKU0078,Housewares,104,8,49,83
2025-01-02,WH_A,East,SKU0079,Hardware,242,3,24,83
2025-01-02,WH_A,East,SKU0080,Hardware,253,4,21,92
2025-01-02,WH_A,East,SKU0081,Housewares,171,3,41,65
2025-01-02,WH_A,East,SKU0082,Hardware,64,2,38,57
2025-01-02,WH_A,East,SKU0083,Housewares,144,1,43,60
2025-01-02,WH_A,East,SKU0084,Office,111,6,21,117
2025-01-02,WH_A,East,SKU0085,Hardware,153,6,49,112
2025-01-02,WH_A,East,SKU0086,Hardware,162,1,18,80
2025-01-02,WH_A,East,SKU0087,Office,96,4,27,45
2025-01-02,WH_A,East,SKU0088,Housewares,142,0,20,114
2025-01-02,WH_A,East,SKU0089,Electronics,96,2,16,36
2025-01-02,WH_A,East,SKU0090,Electronics,146,4,30,46
2025-01-02,WH_A,East,SKU0091,Electronics,231,0,28,38
2025-01-02,WH_A,East,SKU0092,Housewares,164,4,28,105
2025-01-02,WH_A,East,SKU0093,Sports,80,5,29,72
2025-01-02,WH_A,East,SKU0094,Hardware,88,3,15,65
2025-01-02,WH_A,East,SKU0095,Electronics,79,0,23,99
2025-01-02,WH_A,East,SKU0096,Hardware,121,3,26,44
2025-01-02,WH_A,East,SKU0097,Office,191,0,16,46
2025-01-02,WH_A,East,SKU0098,Housewares,12,5,37,60
2025-01-02,WH_A,East,SKU0099,Office,169,4,35,32
2025-01-02,WH_A,East,SKU0100,Office,64,3,31,36
2025-01-02,WH_B,Central,SKU0001,Housewares,61,1,41,97
2025-01-02,WH_B,Central,SKU0002,Electronics,69,2,19,90
2025-01-02,WH_B,Central,SKU0003,Hardware,183,2,38,95
2025-01-02,WH_B,Central,SKU0004,Hardware,241,2,21,87
2025-01-02,WH_B,Central,SKU0005,Sports,160,1,29,108
2025-01-02,WH_B,Central,SKU0006,Sports,29,2,48,68
2025-01-02,WH_B,Central,SKU0007,Office,151,3,16,37
2025-01-02,WH_B,Central,SKU0008,Electronics,209,0,40,84
2025-01-02,WH_B,Central,SKU0009,Hardware,275,4,21,92
2025-01-02,WH_B,Central,SKU0010,Electronics,187,5,19,40
2025-01-02,WH_B,Central,SKU0011,Hardware,137,5,24,38
2025-01-02,WH_B,Central,SKU0012,Housewares,74,2,32,109
2025-01-02,WH_B,Central,SKU0013,Electronics,250,5,50,71
2025-01-02,WH_B,Central,SKU0014,Electronics,179,1,48,67
2025-01-02,WH_B,Central,SKU0015,Housewares,131,2,47,107
2025-01-02,WH_B,Central,SKU0016,Housewares,116,1,21,119
2025-01-02,WH_B,Central,SKU0017,Hardware,58,1,50,57
2025-01-02,WH_B,Central,SKU0018,Housewares,129,3,43,59
2025-01-02,WH_B,Central,SKU0019,Sports,140,1,36,88
2025-01-02,WH_B,Central,SKU0020,Electronics,180,2,41,42
2025-01-02,WH_B,Central,SKU0021,Sports,99,4,42,70
2025-01-02,WH_B,Central,SKU0022,Sports,178,3,31,77
2025-01-02,WH_B,Central,SKU0023,Hardware,84,3,45,38
